variables y definiciones,descripción,Unnamed: 2
ID_hecho,identificador unico del siniestro,
FECHA,fecha en formato dd/mm/aaaa,
AAAA,año,
MM,mes,
DD,día del mes,
ROL,Posición relativa al vehículo que presentaba la víctima en el momento del siniestro,
VICTIMA,"Vehículo que ocupaba quien haya fallecido a se haya lastimado a raíz del hecho, o bien peatón/a. Clasificación agregada del tipo de vehículos.",
SEXO,Sexo informado por fuente policial de la víctima,
EDAD,Edad de la víctima al momento del siniestro,
FECHA_FALLECIMIENTO,Fecha de fallecimiento de la víctima,
,,
Variables,valores,descripción
VICTIMA,PEATON,"Víctima distinta de cualquier ocupante de un vehículo, ya sea un conductor/a o un pasajero/a. Se incluyen los ocupantes o personas que empujan o arrastran un coche de bebé o una silla de ruedas o cualquier otro vehículo sin motor de pequeñas dimensiones. Se incluyen también las personas que caminan empujando una bicicleta o un ciclomotor."
,MOTO,"Vehículo a motor no carrozado que incluye motocicleta, ciclomotor y cuatriciclo."
,AUTO,"Vehículo a motor destinado al transporte de personas, diferente de los motovehículos, y que tenga hasta nueve plazas (incluyendo al asiento del conductor) (Sedan, SUV, coupe, etc)"
,CARGAS,"Vehículo a motor destiando al transporte de cargas, incluye camiones pesados (con o sin acoplado o semirremolque, etc., camión de recolección de residuos) y livianos (utilitarios, furgonetas, pick-ups, camioneta con caja de carga)."
,BICICLETA,"Vehículo con al menos dos ruedas, que generalmente es accionado por el esfuerzo muscular de las personas que lo ocupan, en particular mediante pedales o manivelas. Incluye bicicletas de pedaleo asistido y/o con motor"
,PASAJEROS,"Personas lesionadas que se encuentran dentro, descendiendo o ascendiendo de las unidades de autotrasporte público de pasajeros/as y ómnibus de larga distancia"
,MOVIL,"Vehículos de emergencia: móviles policiales, ambulancias, autobombas. "
,OTRO,otros vehiculos
,SD,Sin datos sobre el tipo de víctima
